;;;;;;
;Paper ID;Compuesto;Número de C;Temperatura [K];Presión [kPa];
;P27;docosano;22;376;0,00112;
;P27;docosano;22;379;0,0016;
;P27;docosano;22;382;0,00208;
;P27;docosano;22;385;0,00272;
;P27;docosano;22;388;0,00385;
;P27;docosano;22;391;0,00513;
;P27;docosano;22;395;0,00737;
;P27;docosano;22;398;0,0101;
;P27;docosano;22;401;0,0138;
;P27;docosano;22;404;0,0181;
;P27;docosano;22;407;0,0236;
;P27;docosano;22;410;0,0295;
;P27;tricosano;23;377,5;0,000641;
;P27;tricosano;23;381;0,000801;
;P27;tricosano;23;384;0,00112;
;P27;tricosano;23;387;0,0016;
;P27;tricosano;23;390;0,00208;
;P27;tricosano;23;393;0,00288;
;P27;tricosano;23;397;0,00401;
;P27;tricosano;23;400;0,00561;
;P27;tricosano;23;403;0,00721;
;P27;tricosano;23;406;0,00961;
;P27;tricosano;23;409;0,0123;
;P27;tricosano;23;411,5;0,0154;
;P27;tricosano;23;416;0,0219;
;P13;N-tetracosano;24;453,066;0,0901;
;P13;N-tetracosano;24;463,075;0,1547;
;P13;N-tetracosano;24;473,082;0,257;
;P13;N-tetracosano;24;483,089;0,4156;
;P13;N-tetracosano;24;493,096;0,6529;
;P13;N-tetracosano;24;503,1;1,001;
;P13;N-tetracosano;24;513,11;1,506;
;P13;N-tetracosano;24;523,121;2,209;
;P13;N-tetracosano;24;533,129;3,176;
;P13;N-tetracosano;24;543,129;4,489;
;P13;N-tetracosano;24;558,13;7,303;
;P13;N-tetracosano;24;573,13;11,47;
;P13;N-tetracosano;24;588,132;17,46;
;P27;tetracosano;24;388;0,000801;
;P27;tetracosano;24;394;0,0016;
;P27;tetracosano;24;399;0,0024;
;P27;tetracosano;24;402;0,0032;
;P27;tetracosano;24;405,5;0,00433;
;P27;tetracosano;24;408;0,00561;
;P27;tetracosano;24;411,5;0,00737;
;P27;tetracosano;24;413;0,00849;
;P27;pentacosano;25;402;0,00192;
;P27;pentacosano;25;306;0,00256;
;P27;pentacosano;25;408;0,00302;
;P27;pentacosano;25;411;0,00401;
;P27;pentacosano;25;414;0,00513;
;P27;pentacosano;25;418;0,00753;
;P27;pentacosano;25;420;0,00897;
;P27;pentacosano;25;423;0,0115;
;P27;pentacosano;25;426;0,0147;
;P27;pentacosano;25;428;0,0179;
